id,title,required_skills
1,Ruby Developer,"Ruby, SQL, Problem Solving"
2,Frontend Developer,"JavaScript, HTML/CSS, React, Teamwork"
3,Backend Developer,"Java, SQL, Node.js, Problem Solving"
4,Fullstack Developer,"JavaScript, HTML/CSS, Node.js, Ruby, SQL, Communication"
5,Machine Learning Engineer,"Python, Machine Learning, Adaptability"
6,Cloud Architect,"Cloud Computing, Python, Communication"
7,Data Analyst,"Python, SQL, Machine Learning, Adaptability"
8,Web Developer,"HTML/CSS, JavaScript, Ruby, Teamwork"
9,Python Developer,"Python, SQL, Problem Solving, Self Motivated"
10,JavaScript Developer,"JavaScript, React, Node.js, Self Motivated"
11,Ruby Developer,"Ruby, SQL, Problem Solving"
12,Frontend Developer,"JavaScript, HTML/CSS, React, Teamwork"
13,Backend Developer,"Java, SQL, Node.js, Problem Solving"
14,Fullstack Developer,"JavaScript, HTML/CSS, Node.js, Ruby, SQL, Communication"
15,Machine Learning Engineer,"Python, Machine Learning, Adaptability"
16,Cloud Architect,"Cloud Computing, Python, Communication"
17,Data Analyst,"Python, SQL, Machine Learning, Adaptability"
18,Web Developer,"HTML/CSS, JavaScript, Ruby, Teamwork"
19,Python Developer,"Python, SQL, Problem Solving, Self Motivated"
20,JavaScript Developer,"JavaScript, React, Node.js, Self Motivated"
