id,title,required_skills
1,Alice Seeker,"JavaScript, React, Self Motivated"
2,Bob,"JavaScript, HTML/CSS, React, Teamwork"
3,Bob,"Java, SQL, Node.js, Problem Solving"
4,Bob,"JavaScript, HTML/CSS, Node.js, Ruby, SQL, Communication"
5,Bob,"Python, Machine Learning, Adaptability"
6,Bob,"Cloud Computing, Python, Communication"
7,Bob,"Python, SQL, Machine Learning, Adaptability"
8,Bob,"HTML/CSS, JavaScript, Ruby, Teamwork"
9,Bob,"Python, SQL, Problem Solving, Self Motivated"
10,Bob,"JavaScript, React, Node.js, Self Motivated"
11,Bob,"Ruby, SQL, Problem Solving"
12,Bob,"JavaScript, HTML/CSS, React, Teamwork"
13,Bob,"Java, SQL, Node.js, Problem Solving"
14,Bob,"JavaScript, HTML/CSS, Node.js, Ruby, SQL, Communication"
15,Bob,"Python, Machine Learning, Adaptability"
16,Bob,"Cloud Computing, Python, Communication"
17,Bob,"Python, SQL, Machine Learning, Adaptability"
18,Bob,"HTML/CSS, JavaScript, Ruby, Teamwork"
19,Bob,"JavaScript, React, Self Motivated"
20,Bob,"JavaScript, React, Node.js, Self Motivated"
21,Bob,"Ruby, SQL, Problem Solving"
22,Bob,"JavaScript, HTML/CSS, React, Teamwork"
23,Bob,"Java, SQL, Node.js, Problem Solving"
24,Bob,"JavaScript, HTML/CSS, Node.js, Ruby, SQL, Communication"
25,Bob,"Python, Machine Learning, Adaptability"
26,Bob,"JavaScript, React, Self Motivated"
27,Bob,"Python, SQL, Machine Learning, Adaptability"
28,Bob,"HTML/CSS, JavaScript, Ruby, Teamwork"
29,Bob,"Python, SQL, Problem Solving, Self Motivated"
30,Bob,"JavaScript, React, Node.js, Self Motivated"
31,Bob,"Ruby, SQL, Problem Solving"
32,Bob,"JavaScript, HTML/CSS, React, Teamwork"
33,Bob,"Java, SQL, Node.js, Problem Solving"
34,Bob,"JavaScript, HTML/CSS, Node.js, Ruby, SQL, Communication"
35,Bob,"JavaScript, React, Self Motivated"
36,Bob,"Cloud Computing, Python, Communication"
37,Bob,"Python, SQL, Machine Learning, Adaptability"
38,Bob,"HTML/CSS, JavaScript, Ruby, Teamwork"
39,Bob,"Python, SQL, Problem Solving, Self Motivated"
